"","article title","author","journal information","years of publication","number of citation"
"184","Accuracy in wrist-worn, sensor-based measurements of heart rate and energy expenditure in a diverse cohort","A Shcherbina, CM Mattsson, D Waggott, H Salisbury, JW Christle, ...","Journal of personalized medicine 7 (2), 3, 2017","2017","47"
"185","Glmnet for matlab","J Qian, T Hastie, J Friedman, R Tibshirani, N Simon","Accessed: Nov 13, 2017, 2013","2013","46"
"186","Robert; Friedman, Jerome","TT Hastie","The Elements of Statistical Learning: Data Mining, Inference and Prediction, 0","","46"
"187","A method for inferring label sampling mechanisms in semi-supervised learning","S Rosset, J Zhu, H Zou, TJ Hastie","Advances in neural information processing systems, 1161-1168, 2005","2005","45"
"188","mda: Mixture and flexible discriminant analysis","T Hastie, R Tibshirani, F Leisch, K Hornik, BD Ripley","R package version 0.4-4, URL http://cran. r-project. org/package= mda, 2013","2013","43"
"189","Support vector machines","V Vapnik, I Guyon, T Hastie","Mach. Learn 20 (3), 273-297, 1995","1995","43"
"190","glasso: Graphical lasso-estimation of Gaussian graphical models","J Friedman, T Hastie, R Tibshirani","R package version 1, 2014","2014","41"
"191","Regularization path algorithms for detecting gene interactions","MY Park, T Hastie","Department of Statistics, Stanford University, 2006","2006","41"
"192","R. and Friedman","TT Hastie","J, 2001","2001","40"
"193","Glmnet vignette","T Hastie, J Qian","Retrieved June 9 (2016), 1-30, 2014","2014","39"
"194","统计学习基础——数据挖掘, 推理与预测","T Hastie, R Tibshirani, J Friedman","北京: 电子工业出版社, 2004","2004","39"
"195","Clinically relevant molecular subtypes in leiomyosarcoma","X Guo, VY Jo, AM Mills, SX Zhu, CH Lee, I Espinosa, MR Nucci, S Varma, ...","Clinical cancer research, 2015","2015","37"
"196","One sketch for all: Theory and application of conditional random sampling","P Li, KW Church, TJ Hastie","Advances in Neural Information Processing Systems, 953-960, 2009","2009","37"
"197","Quantitative determination of age-related geometric changes in the normal abdominal aorta","D Fleischmann, TJ Hastie, FC Dannegger, DS Paik, M Tillich, CK Zarins, ...","Journal of vascular surgery 33 (1), 97-105, 2001","2001","37"
"198","Flexible covariate effects in the proportional hazards model","T Hastie, L Sleeper, R Tibshirani","Breast cancer research and treatment 22 (3), 241-250, 1992","1992","37"
"199","CATS regression–a model‐based approach to studying trait‐based community assembly","DI Warton, B Shipley, T Hastie","Methods in Ecology and Evolution 6 (4), 389-398, 2015","2015","36"
"200","Regression analysis of multiple protein structures","TD Wu, SC Schmidler, T Hastie, DL Brutlag","Journal of Computational Biology 5 (3), 585-595, 1998","1998","36"
"201","The Elements of Statistical Learning, chapter 7","T Hastie, R Tibshirani, J Friedman, T Hastie, J Friedman, R Tibshirani","Springer New York, 2001","2001","35"
"202","New cutpoints to identify increased HER2 copy number: analysis of a large, population-based cohort with long-term follow-up","KC Jensen, DA Turbin, S Leung, MA Miller, K Johnson, B Norris, T Hastie, ...","Breast cancer research and treatment 112 (3), 453-459, 2008","2008","34"
"203","Mitral annular size predicts Alfieri stitch tension in mitral edge-to-edge repair.","TA Timek, SL Nielsen, DT Lai, F Tibayan, D Liang, GT Daughters, ...","The Journal of heart valve disease 13 (2), 165-173, 2004","2004","34"
"204","Generalizations of the bias/variance decomposition for prediction error","G James, T Hastie","Dept. Statistics, Stanford Univ., Stanford, CA, Tech. Rep, 1997","1997","34"
"205","3-D curve matching using splines","E Kishon, T Hastie, H Wolfson","European Conference on Computer Vision, 589-591, 1990","1990","33"
"206","A blockwise descent algorithm for group-penalized multiresponse and multinomial regression","N Simon, J Friedman, T Hastie","arXiv preprint arXiv:1311.6529, 2013","2013","31"
"207","Maxent software for species habitat modeling","S Phillips, M Dudik, R Schapire","AT&T Labs-Research, Princeton University, and the Center for Biodiversity …, 2010","2010","31"
"208","Coronary risk assessment among intermediate risk patients using a clinical and biomarker based algorithm developed and validated in two population cohorts","DS Cross, CA McCarty, E Hytopoulos, M Beggs, N Nolan, DS Harrington, ...","Current medical research and opinion 28 (11), 1819-1830, 2012","2012","30"
"209","Handwritten digit recognition via deformable prototypes","T Hastie, R Tibshirani","Statistics and Data Analysis Research Department, AT&T Bell Laboratories, 1994","1994","30"
"210","Combining biological gene expression signatures in predicting outcome in breast cancer: An alternative to supervised classification","DSA Nuyten, T Hastie, JTA Chi, HY Chang, MJ van de Vijver","European Journal of Cancer 44 (15), 2319-2329, 2008","2008","28"
"211","Constrained ordination analysis with flexible response functions","M Zhu, TJ Hastie, G Walther","Ecological Modelling 187 (4), 524-536, 2005","2005","28"
"212","Exploratory screening of genes and clusters from microarray experiments","R Tibshirani, T Hastie, B Narasimhan, M Eisen, G Sherlock, P Brown, ...","Statistica Sinica, 47-59, 2002","2002","27"
"213","Argument","L Friedman","New York: Chelsa, 1969","1969","26"
"214","An Exploratory Factor Analysis of Five New Cognitive Tests for Use on African Mineworkers","GV Grant, JM Schepers","National Institute for Personnel Research, 1967","1967","26"
"215","R. & Friedman, J.(2009)","TT Hastie","The elements of statistical learning: Data mining, inference, and prediction, 0","","26"
"216","Glmnet for MATLAB. 2013","J Qian, T Hastie, J Friedman, R Tibshirani, N Simon","URL http://www. stanford. edu/~ hastie/glmnet_matlab, 2013","2013","25"
"217","Elastic-net for sparse estimation and sparse PCA","H Zou, T Hastie","URL http://www. stat. umn. edu/~ hzou, 2012","2012","25"
"218","Learning and tracking human motion using functional analysis","D Ormoneit, H Sidenbladh, MJ Black, T Hastie, DJ Fleet","IEEE Workshop on Human Modeling, Analysis and Synthesis 2, 2000","2000","25"
"219","Local case-control sampling: Efficient subsampling in imbalanced data sets","W Fithian, T Hastie","Annals of statistics 42 (5), 1693, 2014","2014","24"
"220","The margin vector, admissible loss and multi-class marginbased classifiers","H Zou, J Zhu, T Hastie","School of Statistics, University of Minnesota, Technical report, 2006","2006","24"
"221","Confounder adjustment in multiple hypothesis testing","J Wang, Q Zhao, T Hastie, AB Owen","The Annals of Statistics 45 (5), 1863-1894, 2017","2017","23"
"222","Effective degrees of freedom: a flawed metaphor","L Janson, W Fithian, TJ Hastie","Biometrika 102 (2), 479-485, 2015","2015","23"
"223","The Elements of Statistical Learning. Stats","T Hastie, R Tibshirani, J Friedman","Springer, 2001","2001","23"
"224","Metrics and models for handwritten character recognition","T Hastie, P Simard","Conference on Statistical Science Honouring the Bicentennial of Stefano …, 1997","1997","23"
"225","An analysis of gestational age, neonatal size and neonatal death using nonparametric logistic regression","AA Herman, TJ Hastie","Journal of Clinical Epidemiology 43 (11), 1179-1190, 1990","1990","23"
"226","Chapter 15. Random Forests","T Hastie, R Tibshirani, J Friedman","The Elements of Statistical Learning: Data Mining, Inference, and Prediction …, 2009","2009","21"
"227","Springer series in statistics","J Friedman, T Hastie, R Tibshirani","Springer, 2001","2001","21"
"228","Statistical models in S","DM Bates, JM Chambers, TJ Hastie","Comp. Sci. and Stat., Proc. 19th Symp. on the Interface, 1992","1992","21"
"229","ZeitZeiger: supervised learning for high-dimensional data from an oscillatory system","JJ Hughey, T Hastie, AJ Butte","Nucleic acids research 44 (8), e80-e80, 2016","2016","20"
"230","Generalized additive model selection","A Chouldechova, T Hastie","arXiv preprint arXiv:1506.03850, 2015","2015","20"
"231","Does cancer risk affect health-related quality of life in patients with Barrett's esophagus?","LB Gerson, N Ullah, T Hastie, MK Goldstein","Gastrointestinal endoscopy 65 (1), 16-25, 2007","2007","19"
"232","Structure learning of mixed graphical models","J Lee, T Hastie","Artificial Intelligence and Statistics, 388-396, 2013","2013","18"
"233","Dynamic visualization of statistical learning in the context of high-dimensional textual data","M Greenacre, T Hastie","Web Semantics: Science, Services and Agents on the World Wide Web 8 (2-3 …, 2010","2010","18"
"234","Prediction of risk for patients with unstable angina.","PA Heidenreich, A Go, KA Melsop, T Alloggiamento, KM McDonald, ...","Evidence report/technology assessment (Summary), 1, 2000","2000","18"
"235","Nonparametric Regression and Classification Part I—Nonparametric Regression","TJ Hastie, RJ Tibshirani","From Statistics to Neural Networks, 62-69, 1994","1994","18"
"236","Discussion: Multivariate adaptive regression splines","A Buja, D Duffy, T Hastie, R Tibshirani","The Annals of Statistics 19 (1), 93-99, 1991","1991","18"
"237","Comment","T Hastie, J Zhu","Statistical Science 21 (3), 352-357, 2006","2006","17"
"238","2009","T Hastie, R Tibshirani, J Friedman","The elements of statistical learning. Data mining, inference and prediction, 0","","17"
"239","Human amygdala engagement moderated by early life stress exposure is a biobehavioral target for predicting recovery on antidepressants","AN Goldstein-Piekarski, MS Korgaonkar, E Green, T Suppes, ...","Proceedings of the National Academy of Sciences 113 (42), 11955-11960, 2016","2016","16"
"240","Optimal kernel shapes for local linear regression","D Ormoneit, T Hastie","Advances in neural information processing systems, 540-546, 2000","2000","16"
"241","Springer; New York: 2001","T Hastie, R Tibshirani, J Friedman","The elements of statistical learning: data mining, inference, and prediction 13, 0","","16"
"242","„Tibshirani, R., & Friedman, J.(2001). The elements of statistical learning","T Hastie","Springer, New York, 0","","16"
"243","Tibshirani, r. and Friedman, J.(2009): The elements of statistical learning. Data mining, inference, and prediction","T Hastie","Springer, 2008","2008","15"
"244","Issues in semi-parametric regression with applications in time series models for air pollution and mortality","F Dominici, A McDermott, T Hastie","Preprint, 2003","2003","15"
"245","The rate of progressive cartilage loss at the knee is dependent on the location of the lesion: a longitudinal MRI study in 43 patients","S Biswal, T Hastie, T Andriacchi, G Bergman, MF Dillingham, P Lang","Arthritis & Rheumatism, 2000","2000","15"
"246","Advances in Neural Information Processing Systems","T Hastie, R Tibshirani, MI Jordan, MJ Kearnsa, SA Solla","MIT Press, 1998","1998","15"
"247","Logistic response projection pursuit","CB Roosen, TJ Hastie","AT&T Bell Laboratories, Doc. BL011214-930806-09TM, Murray Hill, NJ, 1993","1993","15"
"248","Statistical models in S","J Chambers, T Hastie, D Pregibon","Compstat, 317-321, 1990","1990","15"
"249","Nonparametric logistic regression","TJ Hastie","Appl. Stat., 1983","1983","15"
"250","Assessing the significance of global and local correlations under spatial autocorrelation: a nonparametric approach","J Viladomat, R Mazumder, A McInturff, DJ McCauley, T Hastie","Biometrics 70 (2), 409-418, 2014","2014","14"
"251","The elements of statistical learning: Springer series in statistics Springer","J Friedman, T Hastie, R Tibshirani","Berlin, 2001","2001","14"
"252","J., F.(2001). The Elements of Statistical Learning–Data Mining, Inference and Prediction","T Hastie, R Tibshirani","Springer, 0","","14"
"253","Extended Comparisons of Best Subset Selection, Forward Stepwise Selection, and the Lasso","T Hastie, R Tibshirani, RJ Tibshirani","arXiv preprint arXiv:1707.08692, 2017","2017","13"
"254","The mobilize center: an NIH big data to knowledge center to advance human movement research and improve mobility","JP Ku, JL Hicks, T Hastie, J Leskovec, C Ré, SL Delp","Journal of the American Medical Informatics Association 22 (6), 1120-1125, 2015","2015","13"
"255","Compressive feature learning","HS Paskov, R West, JC Mitchell, T Hastie","Advances in Neural Information Processing Systems, 2931-2939, 2013","2013","13"
"256","Neural Networks and Related Methods for Classification-Discussion","P Whittle, J Kay, DJ Hand, L Tarassenko, PJ Brown, DM Titterington, ...","Journal of the Royal Statistical Society Series B-Methodological 56 (3), 437-456, 1994","1994","13"
"257","F., J. 2001. Elements of statistical learning","T Hastie, R Tibshirani","Springer-Verlag, New York, 0","","13"
"258","2001The Elements of Statistical Learning Data Mining, Inference, and Prediction","T Hastie, R Tibshirani, J Friedman","Springer, Berlin, 0","","13"
"259","ProDenICA: Product Density Estimation for ICA using tilted Gaussian density estimates","T Hastie, R Tibshirani","R package version 1, 2010","2010","12"
"260","The elements of statistical learning (Vol. 2, No. 1) Springer","T Hastie, R Tibshirani, J Friedman","New York, 2009","2009","12"
"261","The Elements of Statistical Learning, 745 pp","T Hastie, R Tibshirani, J Friedman","Springer, New York, 2009","2009","12"
"262","Topics in regularization and boosting","S Rosset","stanford university, 2003","2003","12"
"263","Note on “Comparison of model selection for regression” by Vladimir Cherkassky and Yunqian Ma","T Hastie, R Tibshirani, J Friedman","Neural computation 15 (7), 1477-1480, 2003","2003","12"
"264","Boosting and additive trees","T Hastie, J Friedman, R Tibshirani","The Elements of Statistical Learning, 299-345, 2001","2001","12"
"265","Linear smoothers and additive models (with discussion)","A Вша, T Hastie, R Tibshirani","Ann. Statist 17, 453-510, 1989","1989","12"
"266","Discussion: Projection Pursuit","T Hastie, R Tibshirani","The Annals of Statistics 13 (2), 502-508, 1985","1985","12"
"267","Friedman. the elements of statistical learning. 2008","T Hastie, R Tibshirani","Springer.[Online book], 0","","12"
"268","Evaluating quantitative proton‐density‐mapping methods","A Mezer, A Rokem, S Berman, T Hastie, BA Wandell","Human brain mapping 37 (10), 3623-3635, 2016","2016","11"
"269","Statistical models for presence-only data: finite-sample equivalence and addressing observer bias","W Fithian, T Hastie","Ann Appl Stat, 2012","2012","11"
"270","Risk factors for progression of cartilage loss: a longitudinal MRI study","P Lang, S Biswal, M Dillingham, G Bergman, T Hastie, T Andriacchi","European Society of Musculoskeletal Radiology, 6th Annual Meeting, Edinburgh …, 1999","1999","11"
"271","Modeling and superposition of multiple protein structures using affine transformations: Analysis of the globins","TD Wu, SC Schmidler, T Hastie, DL Brutlag","Pac. Sym. on Bio, 507-518, 1998","1998","11"
"272","Some methods for heterogeneous treatment effect estimation in high-dimensions","S Powers, J Qian, K Jung, A Schuler, NH Shah, T Hastie, R Tibshirani","arXiv preprint arXiv:1707.00102, 2017","2017","10"
"273","Kernel smoothing methods","T Hastie, R Tibshirani, J Friedman","The elements of statistical learning, 191-218, 2009","2009","10"
"274","svmpath: The SVM Path algorithm","T Hastie, T Hastie, T Hastie, T Hastie, T Hastie, T Hastie","R package, Version 0.9. URL http://CRAN. R-project. org, 2004","2004","10"
"275","Support vector machines, kernel logistic regression and boosting","J Zhu, T Hastie","International Workshop on Multiple Classifier Systems, 16-26, 2002","2002","10"
"276","The elements of statistical learning Springer-Verlag","T Hastie, R Tibshirani, J Friedman","New York, 2001","2001","10"
"277","An evaluation of beta-blockers, calcium antagonists, nitrates, and alternative therapies for stable angina","PA Heidenreich, KM McDonald, T Hastie, B Fadel, V Hagan, BK Lee, ...","Evidence report/technology assessment, 1999","1999","10"
"278","[Monotone Regression Splines in Action]: Comment","T Hastie, R Tibshirani","Statistical Science 3 (4), 450-456, 1988","1988","10"
"279","ibshirani R., Friedman JH (2001)","T Hastie","The elements ofstatistical learning, 1","1","10"
"280","Springer; 2009","T Hastie, R Tibshirani, J Friedman","The elements of statistical learning: Data mining, inference and prediction, 0","","10"
"281","Borresen-‐Dale AL (2001) Gene expression patterns of breast carcinomas distinguish tumor subclasses with clinical implications","T Sorlie, CM Perou, R Tibshirani, T Aas, S Geisler, H Johnsen, T Hastie, ...","Proc Natl Acad Sci U S A 98, 19, 0","","10"
"282","Anomaly detection in images with smooth background via smooth-sparse decomposition","H Yan, K Paynabar, J Shi","Technometrics 59 (1), 102-114, 2017","2017","9"
"283","Tibshirani","J Friedman, T Hastie, N Simon","R. glmnet: Lasso and elastic-net regularized generalized linear models, 2015","2015","9"
"284","Tree-based methods","G James, D Witten, T Hastie, R Tibshirani","An Introduction to Statistical Learning, 303-335, 2013","2013","9"
"285","A Unified Near-Optimal Estimator For Dimension Reduction in  () Using Stable Random Projections","P Li, TJ Hastie","Advances in Neural Information Processing Systems, 905-912, 2008","2008","9"
"286","Statistical measures for the computer-aided diagnosis of mammographic masses","T Hastie, D Ikeda, R Tibshirani","Journal of Computational and Graphical Statistics 8 (3), 531-543, 1999","1999","9"
"287","Flexible discriminant and mixture models","T Hastie, R Tibshirani, A Buja","Stanford University. Division of Biostatistics, 1997","1997","9"
"288","Nonparametric Regression and Classification Part II—Nonparametric Classification","TJ Hastie, RJ Tibshirani","From Statistics to Neural Networks, 70-82, 1994","1994","9"
"289","A model for comparing signatures","RM Clark, T Hastie, E Kishon","Systems, Man and Cybernetics, 1990. Conference Proceedings., IEEE …, 1990","1990","9"
"290","Regularization paths for generalized linear models via coordinate descent. 2008","J Friedman, T Hastie, R Tibshirani","Manuscript available from http://www-stat. stanford. edu/~ hastie/Papers …, 0","","9"
"291","Boosted varying-coefficient regression models for product demand prediction","JC Wang, T Hastie","Journal of Computational and Graphical Statistics 23 (2), 361-382, 2014","2014","8"
"292","Support vector machines","G James, D Witten, T Hastie, R Tibshirani","An Introduction to Statistical Learning, 337-372, 2013","2013","8"
"293","Linear model selection and regularization","G James, D Witten, T Hastie, R Tibshirani","An Introduction to Statistical Learning, 203-264, 2013","2013","8"
"294","Response to Mease and Wyner, Evidence Contrary to the Statistical View of Boosting, JMLR 9: 131–156, 2008","J Friedman, T Hastie, R Tibshirani","Journal of Machine Learning Research 9, 175-180, 2008","2008","8"
"295","[Consistency in Boosting]: Discussion","J Friedman, T Hastie, S Rosset, R Tibshirani, J Zhu","The Annals of Statistics 32 (1), 102-107, 2004","2004","8"
"296","Linear discriminant analysis","T Hastie, R Tibshirani, R Friedman","The Elements of Statistical Learning. Springer 84, 2001","2001","8"
"297","Random forests","T Hastie, R Tibshirani, J Friedman","The Elements of Statistical Learning: Data Mining, Inference, and Prediction …, 0","","8"
"298","Telugu OCR Framework using Deep Learning","R Achanta, T Hastie","arXiv preprint arXiv:1509.05962, 2015","2015","7"
"299","Customized training with an application to mass spectrometric imaging of cancer tissue","S Powers, T Hastie, R Tibshirani","The Annals of Applied Statistics 9 (4), 1709-1725, 2015","2015","7"
"300","False variable selection rates in regression","MG G'Sell, T Hastie, R Tibshirani","arXiv preprint arXiv:1302.2303, 2013","2013","7"
"301","Tibshirani R. glmnet: Lasso and Elastic-Net Regularized Generalized Linear Models. 2009","J Friedman, T Hastie","R package version, 1-4, 2013","2013","7"
"302","Statistical learning","G James, D Witten, T Hastie, R Tibshirani","An introduction to statistical learning, 15-57, 2013","2013","7"
"303","No increased mortality with early aortic aneurysm disease","M Mell, JJ White, BB Hill, T Hastie, RL Dalman, SAAAS Center, ...","Journal of vascular surgery 56 (5), 1246-1251, 2012","2012","7"
"304","The Elements of Statistical Learning-Data Mining","T Haistie, R Tibshirani, J Friedman","Inference and Prediction: Springer Series in Statistics, 2009","2009","7"
"305","The elements of statistical learning Second edi","T Hastie, R Tibshirani, J Friedman","New York-USA: Springer, 2009","2009","7"
"306","Inference and Prediction. 2","T Hastie, R Tibshirani, J Friedman","New York: Springer-Verlag, 2009","2009","7"
"307","T. and J. Friedman","TR Hastie","The Elements of Statistical Learning: Data Mining, Inference, and Prediction, 2001","2001","7"
"308","The Elements of Statistical Learning","R Tibshirani","Springer, 2001","2001","7"
"309","The global pairwise approach to radiation hybrid mapping","RJ Tibshirani, L Lazzeroni, T Hastie, A Olshen, D Cox","Stanford University. Division of Biostatistics, 1999","1999","7"
"310","Generalized Additive Models, Cubic Splines and Penalized Likelihood.","T Hastie, R Tibshirani","STANFORD UNIV CA DEPT OF STATISTICS, 1987","1987","7"
"311","Package ‘gam’","T Hastie, MT Hastie","","2018","6"
"312","Combinatorial extracellular matrix microenvironments promote survival and phenotype of human induced pluripotent stem cell-derived endothelial cells in hypoxia","L Hou, J Coller, V Natu, TJ Hastie, NF Huang","Acta biomaterialia 44, 188-199, 2016","2016","6"
"313","Glmnet vignette, 2014","T Hastie, J Qian","URL: http://www. web. stanford. edu/∼ hastie/Papers/Glmnet …, 2016","2016","6"
"314","Detecting clinically meaningful biomarkers with repeated measurements: An illustration with electronic health records","BA Goldstein, T Assimes, WC Winkelmayer, T Hastie","Biometrics 71 (2), 478-486, 2015","2015","6"
"315","Stanford Abdominal Aortic Aneurysm Specialized Center of Clinically Oriented Research (SCCOR) Investigators. No increased mortality with early aortic aneurysm disease","M Mell, JJ White, BB Hill, T Hastie, RL Dalman","J Vasc Surg 56 (5), 1246-51, 2012","2012","6"
"316","Exact covariance thresholding into connected components for large-scale graphical lasso","R Mazumder, T Hastie","arXiv preprint arXiv:1108.3829, 2011","2011","6"
"317","J. Friedman The elements of statistical learning (2nd)","T Haste, R Tibshirani","Springer, 2009","2009","6"
"318","TheElementsofStatisticalLearning","T HastieT","Springer, Canada, 2009","2009","6"
"319","Fast regularization paths via coordinate descent","T Hastie","The 14th ACM SIGKDD International Conference on Knowledge Discovery and Data …, 2008","2008","6"
"320","A sketch-based sampling algorithm on sparse data","P Li, K Church, T Hastie","Technical report, Department of Statistics, Stanford University, 2006","2006","6"
"321","Rda: Shrunken centroids regularized discriminant analysis","Y Guo, T Hastie, R Tibshirani","R package version 1, 2005","2005","6"
"322","Automatic bayes carpentry using unlabeled data in semi-supervised classification","H Zou, J Zhu, T Hastie","Ann Arbor 1001, 48109, 2004","2004","6"
"323","Discussions of boosting papers, and rejoinders","PL Bartlett, PJ Bickel, P Bühlmann, Y Freund, J Friedman, T Hastie, ...","The Annals of Statistics 32 (1), 85-134, 2004","2004","6"
"324","Elements of Stat","T Hastie, R Tibshirani, J Friedman","Learning, 2001","2001","6"
"325","Statistical models for image sequences","N Crellin, T Hastie, IM Johnstone","Stanford University, Division of Biostatistics, 1999","1999","6"
"326","Generalized Additive Models: Monographs on Statistics and Applied Probability. Boca Ratan, FL","T Hastie, R Tibshirani","Chapman and Hall, 1999","1999","6"
"327","The Elements of Statistical Learning: Data Mining, Inference, and Prediction. 2nd Springer: 2009","T Hastie, R Tibshirani, J Friedman","Corr. 3rd printing, 5th Printing, 0","","6"
"328","Earth: Multivariate Adaptive Regression Splines (2016)","S Milborrow, T Hastie, R Tibshirani","URL http://CRAN. R-project. org/package= earth. R package version 4 (0), 0","","6"
"329","J+ & R+ J+ Tibshirani~ 1990","T Hastie","Generalized Additive Models, 0","","6"
"330","The Elements of Statistical Learning. 2001","J Friedman, T Hastie, R Tibshirani","Springer series in statistics Springer, Berlin, 0","","6"
"331","The elements of statistical learning: data mining, inference, and prediction: with 200 full-color illustrations. 2001","T Hastie, R Tibshirani, JH Friedman","New York: Springer Google Scholar, 0","","6"
"332","Friedman., J., The Elements of Statistical Learning: Data Mining, Inference, and Prediction. 2001","T Hastie, R Tibshirani","Springer-Verlag, New York, 0","","6"
"333","The Elements of Statistical Learning: Data Mining, Inference, and Prediction. 2001","J Friedman, T Hastie, R Tibshirani","Springer, New York, 0","","6"
"334","glmnet: Lasso and elastic-net regularized generalized linear models. Version1","J Friedman, T Hastie, R Tibshirani","","2013","5"
"335","Unsupervised learning (pp. 485-585)","T Hastie, R Tibshirani, J Friedman","Springer New York, 2009","2009","5"
"336","The Elements of Statistical Learning, vol. 2","R Tibshirani, J Friedman, T Hastie, J Friedman, R Tibshirani","Springer, Berlin, Germany, 2009","2009","5"
"337","The elements of statistical learning: data mining, prediction and inference","R Tibshirani, T Hastie, J Friedman","New York: Springer, 2009","2009","5"
"338","L1 Regularization Path for Generalized Linear Models and Cox Proportional Hazards Model","MY Park, T Hastie","R package, 2007","2007","5"
"339","Margin-constrained random projections and very sparse random projections","P Li, TJ Hastie, KW Church","Proceedings of the Conference on Learning Theory (COLT), 635-649, 2006","2006","5"
"340","Hierarchical classification using shrunken centroids","MY Park, T Hastie","Department of Statistics, Stanford University Technical Report [http://www …, 2005","2005","5"
"341","Exploring sentiment summarization","B Philip, T Hastie, C Manning, S Vaithyanathan","AAAI spring symposium on exploring attitude and affect in text: Theories and …, 2004","2004","5"
"342","vol. 1","J Friedman, T Hastie, R Tibshirani","Springer Series in Statistics. Springer, 2001","2001","5"
"343","Springer New York Inc","T Hastie, R Tibshirani, J Friedman","New York (NY, USA), 2001","2001","5"
"344","S Archive: mda","T Hastie, RJ Tibshirani","StatLib (http://lib. stat. cmu. edu/S/), 1996","1996","5"
"345","Discussion of Royston and Altman","T Hastie, R Tibshirani","Appl Stat 43, 460, 1994","1994","5"
"346","Principal profiles","TJ Hastie, F Little","Proccedings of 1 th Symposion on the Interface between Computer Science and …, 1987","1987","5"
"347","Graphical Methods for Assessing Logistic Regression Models: Comment","TJ Hastie","Journal of the American Statistical Association 79 (385), 77-78, 1984","1984","5"
"348","Springer-Verlag; New York: 2001","T Hastie, R Tibshirani, J Friedman","The elements of statistical learning: data mining, Inference, and prediction, 0","","5"
"349","R., Tibshirani and J. Friedman (2001)","T Hastie","The Elements of Statistical Learning: Data Mining, Inference and Prediction, 0","","5"
"350","Some methods for heterogeneous treatment effect estimation in high dimensions","S Powers, J Qian, K Jung, A Schuler, NH Shah, T Hastie, R Tibshirani","Statistics in medicine 37 (11), 1767-1787, 2018","2018","4"
"351","Prognostic significance of early aortic remodeling in acute uncomplicated type B aortic dissection and intramural hematoma","AM Sailer, PJ Nelemans, TJ Hastie, AS Chin, M Huininga, P Chiu, ...","The Journal of thoracic and cardiovascular surgery 154 (4), 1192-1200, 2017","2017","4"
"352","Nuclear penalized multinomial regression with an application to predicting at bat outcomes in baseball","S Powers, T Hastie, R Tibshirani","Statistical Modelling, 1471082X18777669, 2016","2016","4"
"353","Sparse Quadratic Discriminant Analysis and Community Bayes","Y Le, T Hastie","arXiv preprint arXiv:1407.4543, 2014","2014","4"
"354","Linear regression","G James, D Witten, T Hastie, R Tibshirani","An Introduction to Statistical Learning, 59-126, 2013","2013","4"
"355","Resampling Methods","G James, D Witten, T Hastie, R Tibshirani","An Introduction to Statistical Learning, 175-201, 2013","2013","4"
"356","Statistical learning","T Hastie, R Tibshirani","Learning 2 (08), 2011","2011","4"
"357","Regularization methods for learning incomplete matrices","R Mazumder, T Hastie, R Tibshirani","arXiv preprint arXiv:0906.2034, 2009","2009","4"
"358","The samr Package","R Tibshirani, G Chu, T Hastie, B Narasimhan, MR Tibshirani","","2007","4"
"359","Practical Procedures for Dimension Reduction in l1","P Li, T Hastie, KW Church","Department of Statistics, Stanford University, 2006","2006","4"
"360","Trees, Bagging, Random Forests and Boosting","T Hastie","Stanford University, 2003","2003","4"
"361","Technical Report 208","R Tibshirani, G Walther, T Hastie","Deparment of Statistics, Standford University, 2000","2000","4"
"362","WAVELET SHRINKAGE-ASYMPTOPIA-DISCUSSION","PL SPECKMAN, JS MARRON, B SILVERMAN, G NASON, KM WANG, ...","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL 57 (2), 337-369, 1995","1995","4"
"363","A new algorithm for matched case-control studies with applications to additive models","T Hastie, D Pregibon","Compstat, 279-284, 1988","1988","4"
"364","Causal interpretations of black-box models","Q Zhao, T Hastie","Journal of Business & Economic Statistics, to appear. A DEPTH AND EXPOSURE TIME, 2017","2017","3"
"365","Synergistic drug combinations from electronic health records and gene expression","YS Low, AC Daugherty, EA Schroeder, W Chen, T Seto, S Weber, M Lim, ...","Journal of the American Medical Informatics Association 24 (3), 565-576, 2016","2016","3"
"366","Construction of longitudinal prediction targets using semisupervised learning","B Jo, RL Findling, TJ Hastie, EA Youngstrom, CP Wang, LE Arnold, ...","Statistical methods in medical research, 0962280216684163, 2016","2016","3"
"367","impute: Imputation for microarray data. R package version 1.42. 0","T Hastie, R Tibshirani, N Balasubramanian, G Chu","","2015","3"
"368","Package ‘lars’","T Hastie, B Efron, MT Hastie","","2013","3"
"369","Unsupervised learning","G James, D Witten, T Hastie, R Tibshirani","An Introduction to Statistical Learning, 373-418, 2013","2013","3"
"370","Matrix completion and large-scale svd computations","T Hastie","Slides, May, 2012","2012","3"
"371","Lars","T Hastie, B Efron","R package, 2011","2011","3"
"372","The gam Package","T Hastie, MT Hastie","","2006","3"
"373","Sub-Gaussian random projections","P Li, TJ Hastie, KW Church","Technical report, Stanford University, 2006","2006","3"
"374","SIAM","PC Hansen, JG Nagy, DP O'leary","Philadelphia (PA), 2006","2006","3"
"375","The Mathematical Intelligencer","T Hastie, R Tibshirani, J Friedman, J Franklin","New York: Springer 27, 83, 2005","2005","3"
"376","Expression Arrays and the p≫ n Problem","T Hastie, R Tibshirani","See〈 http://www-stat. stanford. edu/∼ hastie/Papers/pgtn. pdf, 2003","2003","3"
